100204198,M Vertica,1800,3
99772353,The Andes Condo Villa - Bukit Jalil,2000,3
100311125,Melur Apartment (Sentul),1750,3
100221767,PPA1M Bukit Jalil,1800,4
98945228,Vista Magna,645,3
100310955,Impiana Sky Residensi,1250,3
99389334,Residensi Rabung KL Timur,3500,2
100258987,Platinum Teratai Residence,1700,3
99353992,Platinum Teratai Residence,2200,3
100310568,Serini Melawati,3000,3
100310207,The Ooak (Kiara 163),2200,1
100310142,Seksyen 2 Wangsa Maju Flat Block D,800,2
100310085,Aman Dua,1000,3
100310080,Residensi Seri Wahyu - Jalan Kuching KL,1200,3
100310075,Royal Domain Sri Putramas 2,1800,3
100179047,Teratai Mewah Apartment,1100,3
100310003,Vista Angkasa,1900,3
100219856,Mont Kiara Pelangi,3500,3
100207365,Arte Plus Jalan Ampang,1600,2
100207874,Arte Plus Jalan Ampang,2500,4
100309878,First Residence,1500,3
100309863,Eco Sky,1600,2
100309826,Residensi KepongMas,1100,3
100309859,Residensi KepongMas,1100,3
100309845,Vista Mutiara,1200,3
100201659,Residensi KepongMas,1400,3
100309682,Centrio SOHO - Pantai Hillpark,2350,1
100309605,The Elements,1600,1
100309649,Bayu Tasik 1,1350,3
100309644,Kenanga Point,1800,3
100309552,Midah Ria,1350,3
100309520,The Haute,2000,3
100309574,The Haute,2250,3
100309570,Nidoz Residences,3500,3
100309420,Sri Ampang Condominium,1300,4
100053532,PV18 Residence,1600,3
100258062,Endah Regal,1500,3
100309250,Icon Residence (Mont Kiara),3000,3
99862635,Residensi KepongMas,1100,3
99184481,United Point Residence - North Kiara,1700,3
100308971,Damai Residence - Sungai Besi,1650,2
100309061,Changkat View Condominium,1800,3
97893162,Bukit OUG Condominium,1500,3
99593982,Bam Villa,1400,3
100309030,Residensi Suria Pantai,1300,3
99737498,Vista Komanwel A,1600,3
100309018,Sentul Point Suite Apartment,1900,2
100308824,Maxim Citilights,1700,3
100308849,Melur Apartment (Sentul),1600,3
100250216,8 Kinrara,2700,3
100308683,Vista Angkasa,1800,3
100308680,Menara Sri Cendana,1400,3
100308689,Bukit OUG Condominium,1500,4
100308651,Bukit OUG Condominium,1150,2
100308731,Vista Angkasa,1300,2
100308548,Apartment Taman Kuchai Jaya - Walking distance to Sekolah Seri Sentosa & Seri setia,850,2
100308623,Sri Lempah,700,2
100308619,Aster Green Residence,1700,3
100308519,Putra Ria Apartment,1700,3
100308488,Wangsa Metroview,1400,3
100308372,Serini Melawati,3000,3
100308167,PV9 Residences - Taman Melati,2200,3
100308186,PV9 Residences - Taman Melati,2800,4
100308268,PV9 Residences - Taman Melati,2100,3
100308266,Residensi Alam Damai (PR1MA - Alam Damai),1300,3
100308105,Casa Green (Bukit Jalil),2000,4
99495003,Prima Setapak Flat,900,2
100307777,Platinum OUG Residence,1800,3
98877542,Platinum OUG Residence,1250,3
100236506,Maxim Residences,1000,1
100307719,Southbank Residence,1800,3
100307706,Platinum OUG Residence,1800,3
100307697,Vivo Residential - 9 Seputeh,1500,1
100307684,Impiana Sky Residensi,1300,3
99331807,The Reach - Titiwangsa,2500,3
100307549,One Residences,3300,3
100307538,Enesta,1800,3
99310809,Enesta,2000,2
96631980,Enesta,2400,2
99777385,Skyville - Benteng 8,2600,2
100307403,Heritage Condominiun,1200,3
100307394,Vista Angkasa,1400,3
100307462,Casa Green (Bukit Jalil),1800,3
100307425,Sri Impian (Brickfields),3200,3
100307422,Majestic Maxim,600,3
99143617,Majestic Maxim,1250,2
100307365,FLAT SENTUL UTAMA,900,3
100307252,Residensi Seri Wahyu - Jalan Kuching KL,1300,3
99630862,Diamond Residences,1500,3
100307233,Suasana Sentral Loft,3800,3
